Team,Player,ROS,Playing time %,Role,IP_GS
LAA,Tyler Anderson,163 IP,GS 18%,Starter 3,5.6
LAA,Reid Detmers,143 IP,GS 17%,Starter 4,5.2
LAA,Jose Suarez,122 IP,GS 15%,Starter 5,5
LAA,Tucker Davidson,90 IP,GS 6% RP 8%,"Starter 6, Long",4.5
LAA,Chase Silseth,44 IP,GS 6%,Starter,4.5
LAA,Griffin Canning,33 IP,GS 3% RP 2%,"Starter, Long",4.4
LAA,Davis Daniel,15 IP,GS 2%,Starter,4.6
LAA,Carlos Estevez,58 IP,RP 10% SV 40%,Closer,0
LAA,Jimmy Herget,58 IP,RP 10% SV 30%,Closer,0
LAA,Ryan Tepera,58 IP,RP 10% SV 30%,Closer,0
LAA,Jose Quijada,52 IP,RP 9%,Setup,0
LAA,Aaron Loup,52 IP,RP 9%,Setup,0
LAA,Matt Moore,64 IP,RP 11%,Middle,0
LAA,Andrew Wantz,46 IP,RP 8%,Middle,0
LAA,Chris Rodriguez,17 IP,RP 3%,Middle,0
LAA,Zack Weiss,12 IP,RP 2%,Middle,0
LAA,Kolton Ingram,12 IP,RP 2%,Middle,0
LAA,Justin Garza,12 IP,RP 2%,Middle,0
LAA,Ben Joyce,12 IP,RP 2%,Middle,0
LAA,Jose Marte,12 IP,RP 2%,Middle,0
LAA,Jaime Barria,58 IP,RP 10%,Long,0
LAD,Julio Urias,163 IP,GS 18%,Starter 1,5.6
LAD,Tony Gonsolin,131 IP,GS 15%,Starter 2,5.4
LAD,Clayton Kershaw,134 IP,GS 15%,Starter 3,5.5
LAD,Dustin May,124 IP,GS 15%,Starter 4,5.1
LAD,Noah Syndergaard,120 IP,GS 14%,Starter 5,5.3
LAD,Ryan Pepiot,73 IP,GS 8% RP 2%,"Starter 5, Long",4.7
LAD,Michael Grove,42 IP,GS 4% RP 2%,"Starter, Long",4.6
LAD,Gavin Stone,34 IP,GS 3% RP 2%,"Starter, Long",4.5
LAD,Brusdar Graterol,59 IP,GS 2% RP 9% SV 10%,"Starter, Setup",1
LAD,Justin Bruihl,32 IP,GS 2% RP 3%,"Starter, Middle",4
LAD,Andre Jackson,25 IP,GS 2% RP 3%,"Starter, Middle",2
LAD,Bobby Miller,26 IP,GS 2% RP 2%,"Starter, Middle",4.2
LAD,Evan Phillips,62 IP,RP 10% SV 30%,Closer,0
LAD,Alex Vesia,62 IP,RP 10% SV 25%,Closer,0
