Team,Batters,ROS,Playing time %
CIN,Luke Maile,105 PA,C 15% 105 PA
CIN,Chuckie Robinson,35 PA,C 5% 35 PA
CIN,Jonathan India,595 PA,2B 85% 595 PA
CIN,Alejo Lopez,35 PA,2B 5% 35 PA
CIN,Kevin Newman,560 PA,SS 75% 525 PA 2B 5% 35 PA
CIN,Jose Barrero,140 PA,SS 20% 140 PA
CIN,Nick Senzel,490 PA,CF 60% 420 PA 3B 5% 35 PA DH 5% 35 PA
CIN,Will Benson,210 PA,CF 25% 175 PA RF 5% 35 PA
CIN,Mike Siani,70 PA,CF 5% 35 PA LF 5% 35 PA
CIN,TJ Friedl,455 PA,LF 50% 350 PA CF 10% 70 PA DH 5% 35 PA
CIN,Nick Solak,175 PA,LF 15% 105 PA RF 5% 35 PA DH 5% 35 PA
CIN,Stuart Fairchild,210 PA,LF 15% 105 PA RF 10% 70 PA DH 5% 35 PA
CIN,Spencer Steer,595 PA,3B 70% 490 PA 1B 5% 35 PA 2B 5% 35 PA DH 5% 35 PA
CIN,Elly De La Cruz,210 PA,3B 20% 140 PA SS 5% 35 PA DH 5% 35 PA
CIN,Matt Reynolds,35 PA,3B 5% 35 PA
CIN,Wil Myers,525 PA,RF 55% 385 PA 1B 10% 70 PA DH 10% 70 PA
CIN,Jake Fraley,455 PA,RF 25% 175 PA DH 25% 175 PA LF 15% 105 PA
CIN,Joey Votto,560 PA,1B 70% 490 PA DH 10% 70 PA
CLE,Mike Zunino,420 PA,C 60% 420 PA
CLE,Bo Naylor,210 PA,C 30% 210 PA
CLE,Bryan Lavastida,70 PA,C 10% 70 PA
CLE,Andres Gimenez,595 PA,2B 85% 595 PA
CLE,Tyler Freeman,105 PA,2B 10% 70 PA 3B 5% 35 PA
CLE,Juan Brito,70 PA,2B 5% 35 PA SS 5% 35 PA
CLE,Amed Rosario,595 PA,SS 85% 595 PA
CLE,Myles Straw,595 PA,CF 85% 595 PA
CLE,Will Brennan,385 PA,CF 15% 105 PA LF 15% 105 PA RF 15% 105 PA DH 10% 70 PA
CLE,Steven Kwan,595 PA,LF 80% 560 PA DH 5% 35 PA
CLE,Richie Palacios,35 PA,LF 5% 35 PA
CLE,Jose Ramirez,630 PA,3B 80% 560 PA DH 10% 70 PA
CLE,Gabriel Arias,175 PA,3B 15% 105 PA SS 10% 70 PA
CLE,Oscar Gonzalez,560 PA,RF 70% 490 PA DH 10% 70 PA
CLE,George Valera,70 PA,RF 10% 70 PA
CLE,Jhonkensy Noel,35 PA,RF 5% 35 PA
CLE,Josh Bell,595 PA,1B 50% 350 PA DH 35% 245 PA
CLE,Josh Naylor,560 PA,1B 50% 350 PA DH 30% 210 PA
COL,Elias Diaz,420 PA,C 60% 420 PA
COL,Brian Serven,280 PA,C 40% 280 PA
COL,Ryan McMahon,595 PA,2B 70% 490 PA 3B 15% 105 PA
COL,Brendan Rodgers,70 PA,2B 10% 70 PA
COL,Harold Castro,105 PA,2B 10% 70 PA 3B 5% 35 PA
COL,Ezequiel Tovar,525 PA,SS 70% 490 PA 2B 5% 35 PA
COL,Alan Trejo,245 PA,SS 30% 210 PA 2B 5% 35 PA
COL,Yonathan Daza,455 PA,CF 65% 455 PA
COL,Brenton Doyle,105 PA,CF 10% 70 PA RF 5% 35 PA
COL,Jurickson Profar,490 PA,LF 70% 490 PA
COL,Colton Welker,35 PA,LF 5% 35 PA
COL,Sean Bouchard,35 PA,LF 5% 35 PA
COL,Mike Moustakas,245 PA,3B 30% 210 PA DH 5% 35 PA
COL,Nolan Jones,280 PA,3B 25% 175 PA DH 10% 70 PA LF 5% 35 PA
COL,Elehuris Montero,245 PA,3B 25% 175 PA 1B 5% 35 PA DH 5% 35 PA
COL,Kris Bryant,595 PA,RF 55% 385 PA DH 25% 175 PA LF 5% 35 PA
COL,Randal Grichuk,385 PA,RF 30% 210 PA CF 25% 175 PA
COL,C.J. Cron,595 PA,1B 80% 560 PA DH 5% 35 PA
COL,Charlie Blackmon,455 PA,DH 50% 350 PA RF 10% 70 PA LF 5% 35 PA
DET,Jake Rogers,280 PA,C 40% 280 PA
DET,Eric Haase,385 PA,C 35% 245 PA DH 15% 105 PA LF 5% 35 PA
DET,Donny Sands,140 PA,C 20% 140 PA
DET,Mario Feliciano,35 PA,C 5% 35 PA
DET,Jonathan Schoop,560 PA,2B 80% 560 PA
DET,Wenceel Perez,35 PA,2B 5% 35 PA
DET,Javier Baez,595 PA,SS 85% 595 PA
DET,Zack Short,105 PA,SS 10% 70 PA 2B 5% 35 PA
DET,Riley Greene,595 PA,CF 85% 595 PA
DET,Akil Baddoo,420 PA,LF 55% 385 PA CF 5% 35 PA
DET,Kerry Carpenter,385 PA,LF 25% 175 PA RF 15% 105 PA DH 15% 105 PA
DET,Matt Vierling,280 PA,LF 15% 105 PA CF 10% 70 PA RF 10% 70 PA 1B 5% 35 PA
DET,Ryan Kreidler,420 PA,3B 55% 385 PA SS 5% 35 PA
DET,Nick Maton,175 PA,3B 20% 140 PA 2B 5% 35 PA
DET,Andre Lipcius,105 PA,3B 10% 70 PA 2B 5% 35 PA
DET,Andy Ibáñez,35 PA,3B 5% 35 PA
DET,Austin Meadows,525 PA,RF 75% 525 PA
DET,Spencer Torkelson,560 PA,1B 80% 560 PA
DET,Tyler Nevin,175 PA,1B 15% 105 PA 3B 10% 70 PA
DET,Miguel Cabrera,490 PA,DH 70% 490 PA
HOU,Martin Maldonado,420 PA,C 60% 420 PA
HOU,Korey Lee,245 PA,C 35% 245 PA
HOU,Yainer Diaz,70 PA,C 5% 35 PA 1B 5% 35 PA
